Year,படம்,பாடல்,இசையமைப்பாளர்,Note
2023,Dasara,Dhoom Dhaam Dhosthu,சந்தோஷ் நாராயணன்,
2023,Dasara,Theekari,சந்தோஷ் நாராயணன்,
,,,,
2023,Theerkadarishi,Miss You,G. Balasubramanian,
2023,Agilan,Dhrogam,சாம் சி.எஸ்.,
,,,,
2023,Pathu Thala,Namma Satham,ஏ. ஆர். ரஹ்மான்,
2023,Pathu Thala,Nee Singamdhan,ஏ. ஆர். ரஹ்மான்,
,,,,
2023,Veeran,Thunderkaaran,ஹிப்ஹாப் தமிழா,
2023,Regina,Naam Ulaavum Oadai,Sathish Nair,
,,,,
2023,ஜவான்,Vandha Edam,அனிருத் ரவிச்சந்தர்,
2023,ஜவான்,Hayyoda,அனிருத் ரவிச்சந்தர்,
2023,ஜவான்,Not Ramaiya Vastavaiya,அனிருத் ரவிச்சந்தர்,
2023,ஜவான்,Aararaari Raaro,அனிருத் ரவிச்சந்தர்,
2023,ஜவான்,Pattasa,அனிருத் ரவிச்சந்தர்,
,,,,
2023,Iraivan,Azhagai,யுவன் சங்கர் ராஜா,
2023,Iraivan,Idhu Pola,யுவன் சங்கர் ராஜா,
2023,Iraivan,Shades of Love,யுவன் சங்கர் ராஜா,
2023,Iraivan,Nanbha,யுவன் சங்கர் ராஜா,
2023,Iraivan,Fear Beat,யுவன் சங்கர் ராஜா,
,,,,
2023,Chithha,Unakku Thaan,சந்தோஷ் நாராயணன்,
2023,சந்திரமுகி 2,Moruniye,M. M. Keeravani,
,,,,
2023,Miss Shetty Mr Polishetty (Tamil),No No No,Radhan,
2023,Miss Shetty Mr Polishetty (Tamil),Lady Luck,Radhan,
2023,Miss Shetty Mr Polishetty (Tamil),Aaradho,Radhan,
2023,Miss Shetty Mr Polishetty (Tamil),Yaadho Dhisai,Radhan,
,,,,
2023,Jigarthanda DoubleX,Maamadura,சந்தோஷ் நாராயணன்,
2023,Jigarthanda DoubleX,Oyyaram,சந்தோஷ் நாராயணன்,
,,,,
2023,Annapoorani: The Goddess of Food,Ulagai Vella Pogiraal,தமன் எஸ்,
2023,Annapoorani: The Goddess of Food,Life Is On (Version 1 - Veg),தமன் எஸ்,
2023,Annapoorani: The Goddess of Food,Life Is On (Version 2 - Non-Veg),தமன் எஸ்,
2023,Annapoorani: The Goddess of Food,Ivalo Ivalo,தமன் எஸ்,
2023,Annapoorani: The Goddess of Food,Aduppil Pogai Aagum,தமன் எஸ்,
,,,,
2023,Lal Salaam,Ther Thiruvizha,ஏ. ஆர். ரஹ்மான்,
,,,,
2023,Saindhav (Tamil),Vennaa Penne,சந்தோஷ் நாராயணன்,
2023,Saindhav (Tamil),Poraname,சந்தோஷ் நாராயணன்,
,,,,
2023,Hi Nanna (Tamil),Amizhdhe Nee,ஹெஷாம் அப்துல் வஹாப்,
2023,Hi Nanna (Tamil),Odiyamma,ஹெஷாம் அப்துல் வஹாப்,
2023,Hi Nanna (Tamil),Nee Maaya Nizhal,ஹெஷாம் அப்துல் வஹாப்,
2023,Hi Nanna (Tamil),Vaazhvin Doorame,ஹெஷாம் அப்துல் வஹாப்,
,,,,
2024,Captain Miller,Kombari Vettapuli,ஜி. வி. ப்ரகாஷ் குமார்,
,,,,
2024,அயலான்,Vera Level Sago,ஏ. ஆர். ரஹ்மான்,
